OBJECTID,REF_CODE,THEME,NAME,STATUS,MEASURE,GRIDREF,LABEL,HYPERLINK,Shape__Area,Shape__Length,GlobalID
140,1421877,country parks,FLATTS LANE WOODLAND,Known as a Country Park,40.51,NZ545163,FLATTS LANE WOODLAND (Country Park),GSP002085,405116.280715942,5675.75682749027,caaa698f-d50e-415f-81e4-74e5292159ab
141,1421882,country parks,FRITTON LAKE,Known as a Country Park,178.4,TG482003,FRITTON LAKE (Country Park),,1784027.52415466,10215.4207604018,ec9c7266-82b5-43b5-9544-622822268ba5
142,1421883,country parks,FRYENT,Known as a Country Park,110.13,TQ196878,FRYENT (Country Park),,1101304.69696045,8628.75037472448,61665d83-4728-4d21-98d7-fdd7652009e6
143,1443067,country parks,HIGHFIELDS,Known as a Country Park,28.55,SJ882936,HIGHFIELDS (Country Park),,285458.565216064,3101.23958221371,64c816e8-bb84-45b8-a196-111af627d022
144,1442957,country parks,HIGHGATE COMMON,Known as a Country Park,123.71,SO840900,HIGHGATE COMMON (Country Park),,1237071.87687683,7691.13111513481,c0fe39c2-d3a5-47fb-bd2f-12bdc223d582
145,1421903,country parks,HINCHINGBROOKE,Accredited,61.41,TL219715,HINCHINGBROOKE (Country Park),,614137.954483032,4377.6167753793,a6bbca03-53da-4099-98e9-5994bf6a4bf6
146,1443068,country parks,HOLBURY MANOR PONDS,Known as a Country Park,5.71,SU428036,HOLBURY MANOR PONDS (Country Park),,57082.2052268982,1255.72071510895,e2409078-dd5b-44c8-8f54-83e98ab8c7b4
147,1443025,country parks,HOLLAND HAVEN,Known as a Country Park,42.82,TM218174,HOLLAND HAVEN (Country Park),,428211.95174408,6049.39343772815,ee3a0043-04a6-402c-8bd3-147379206a73
148,1421904,country parks,HOLLINGWORTH,Known as a Country Park,70.97,SD938148,HOLLINGWORTH (Country Park),,709659.169311523,6115.64954351446,bf3c5a39-d512-48bb-ada1-25a2d75350be
149,1443026,country parks,HOLLY HILL WOODLAND PARK (FAREHAM),Known as a Country Park,27.94,SU496076,HOLLY HILL WOODLAND PARK (FAREHAM) (Country Park),,279353.103199005,3815.38896740995,267f540a-217e-4648-a183-a2faa0e8abbe
150,1451099,country parks,HOLME BROOK,Known as a Country Park,57.19,SK355728,HOLME BROOK (Country Park),,571867.413192749,4399.48753924494,dd4c8c65-fbcd-474e-8b32-150a131eb693
151,1442958,country parks,HOLME PIERREPOINT,Known as a Country Park,94.8,SK617393,HOLME PIERREPOINT (Country Park),,947977.603393555,6900.12666325907,a48c891c-a328-4182-a151-7ff3cd09440c
152,1442989,country parks,"GOODWOOD ESTATE, THE",Known as a Country Park,72.21,SU893111,"GOODWOOD ESTATE, THE (Country Park)",,722110.356060028,7687.30915450396,e3e1a10e-555a-43ed-9288-73bb4ae63bb0
153,1421884,country parks,GRAND WESTERN CANAL,Accredited,48.56,ST018129,GRAND WESTERN CANAL (Country Park),GSP001884,485643.833889008,38866.3973199011,54aa5301-4e4a-4212-a3ed-81135a4291b9
154,1443065,country parks,GRANVILLE,Known as a Country Park,26.31,SJ719127,GRANVILLE (Country Park),,263093.638618469,5470.76100231789,1f2e83a8-1f47-4420-8cd6-452039e9c1ce
155,1421886,country parks,GRASSMOOR,Known as a Country Park,50.31,SK410675,GRASSMOOR (Country Park),,503114.241973877,3330.78952442452,da015350-f096-45b5-9926-681a6d6b5d7c
156,1443033,country parks,GREAT CORNARD,Known as a Country Park,14.22,TL894393,GREAT CORNARD (Country Park),,142222.757705688,2311.30108100451,8c6a65bc-c879-4195-9b83-83d00bb11acf
157,1421887,country parks,GREAT NOTLEY,Known as a Country Park,41.85,TL733211,GREAT NOTLEY (Country Park),GSP003576,418493.539886475,3546.99851848937,f25a6a92-6ae8-437a-9120-b363d67589fc
158,1442955,country parks,GREENWAY BANK,Known as a Country Park,48.48,SJ893553,GREENWAY BANK (Country Park),,484827.824645996,7641.19415136769,500abf11-6463-4a0c-b16f-bfbcc851d7ce
159,1421888,country parks,GUISBOROUGH FOREST AND WALKWAY,Known as a Country Park,5.89,NZ590149,GUISBOROUGH FOREST AND WALKWAY (Country Park),GSP001495,58894.2128295898,2619.35993568893,30c5205d-e7a5-4f53-a001-7175ffd5af49
160,1443020,country parks,GUNPOWDER PARK,Known as a Country Park,90.86,TQ381989,GUNPOWDER PARK (Country Park),GSP001203,908635.461143494,4071.04404206262,a458fb70-387a-4f46-be37-aeab60344f6f
161,1421889,country parks,HADLEIGH CASTLE,Known as a Country Park,168.51,TQ796858,HADLEIGH CASTLE (Country Park),GSP001965,1685052.33337402,12476.4517364235,9b405bb6-2e07-46b9-a405-b0c034520aab
162,1421890,country parks,HAIGH,Known as a Country Park,162.35,SD594080,HAIGH (Country Park),,1623524.16490173,12502.4808032444,1e059e30-1c47-4405-b2ea-5e534bbbd68c
163,1421891,country parks,HAINAULT FOREST,Known as a Country Park,446.66,TQ481933,HAINAULT FOREST (Country Park),GSP001397,4466616.23673248,10891.9661492097,e11b0424-3655-493c-9fb0-f090c000aa17
164,1421892,country parks,HAM HILL,Accredited,163.53,ST484163,HAM HILL (Country Park),GSP001163,1635326.03736496,10210.9609565099,5a616716-84ee-456c-a2e4-36c95515309c
165,1442969,country parks,HARDWICK HALL - DERBYSHIRE,Known as a Country Park,97.06,SK458639,HARDWICK HALL - DERBYSHIRE (Country Park),,970585.40222168,4136.06505906293,40d4d2ae-b186-4b8a-b9e8-722714c681d4
166,1421893,country parks,HARDWICK HALL - DURHAM,Known as a Country Park,253.07,NZ344291,HARDWICK HALL - DURHAM (Country Park),,2530721.21810913,9922.70592796828,53d5137f-8fbb-446f-9be9-75dc63bb933d
167,1421894,country parks,HARROLD-ODELL,Known as a Country Park,59.07,SP960569,HARROLD-ODELL (Country Park),,590714.361785889,3376.10506468458,cdf10fa5-a900-4251-a5f7-5abe96abd720
